sample_name,total_curvature,curvature_ratio,final_strain,final_stress,class
biax_tension_neohookean_dp0,4.823832073677104,5.079746899256822e-05,3.55956,7.82471,nh
biax_tension_neohookean_dp1,4.796219037353755,0.0,3.73754,7.82471,nh
biax_tension_neohookean_dp10,4.214794390909224,0.0,5.33934,7.82471,nh
biax_tension_neohookean_dp11,4.132132890572012,0.0,5.51732,7.82471,nh
biax_tension_neohookean_dp12,4.048425621040814,0.0,5.6953,7.82471,nh
biax_tension_neohookean_dp13,3.9642289280189966,0.0,5.87328,7.82471,nh
biax_tension_neohookean_dp14,3.8798929672682583,0.0,6.05126,7.82471,nh
biax_tension_neohookean_dp15,3.797233340606082,0.0,6.22923,7.82471,nh
biax_tension_neohookean_dp16,3.7135138277594075,0.0,6.40721,7.82471,nh
biax_tension_neohookean_dp17,3.6305096520879543,0.0,6.58519,7.82471,nh
biax_tension_neohookean_dp18,3.5484191213439633,0.0,6.76317,7.82471,nh
biax_tension_neohookean_dp19,3.465905789377307,0.00013403226130515492,6.94115,7.82471,nh
biax_tension_neohookean_dp2,4.757466634562845,1.3006407780052573e-06,3.91552,7.82471,nh
biax_tension_neohookean_dp20,3.3876611749150176,0.0,7.11912,7.82471,nh
biax_tension_neohookean_dp21,3.309221139567026,0.0,7.2971,7.82471,nh
biax_tension_neohookean_dp22,3.232220936100031,0.0,7.47508,7.82471,nh
biax_tension_neohookean_dp23,3.156719491534962,0.0,7.65306,7.82471,nh
biax_tension_neohookean_dp24,3.0827784794335615,0.0,7.83104,7.82471,nh
biax_tension_neohookean_dp25,3.011481362831554,0.0,8.00901,7.82471,nh
biax_tension_neohookean_dp26,2.940752523125725,0.0,8.18699,7.82471,nh
biax_tension_neohookean_dp27,2.871663339543619,0.0,8.36497,7.82471,nh
biax_tension_neohookean_dp28,2.8042341516125058,0.0,8.54295,7.82471,nh
biax_tension_neohookean_dp29,2.7384625026246496,0.0,8.72093,7.82471,nh
biax_tension_neohookean_dp3,4.709289138630143,9.568572926239263e-06,4.0935,7.82471,nh
biax_tension_neohookean_dp30,2.673307678759214,3.86077836680442e-05,8.89891,7.82471,nh
biax_tension_neohookean_dp31,2.611709355910656,0.0,9.07688,7.82471,nh
biax_tension_neohookean_dp32,2.550867538924147,0.0,9.25486,7.82471,nh
biax_tension_neohookean_dp33,2.4916420318437758,0.0,9.43284,7.82471,nh
biax_tension_neohookean_dp34,2.433988167237291,0.0,9.61082,7.82471,nh
biax_tension_neohookean_dp35,2.3778858913279124,0.0,9.7888,7.82471,nh
biax_tension_neohookean_dp36,2.3241691796684,0.0,9.96677,7.82471,nh
biax_tension_neohookean_dp37,2.2684365054165876,0.00046993039162100735,10.1448,7.82471,nh
biax_tension_neohookean_dp38,2.2211607748051554,0.00043386644785338397,10.3227,7.82471,nh
biax_tension_neohookean_dp39,2.1675136509693775,0.0006633665030831171,10.5007,7.82471,nh
biax_tension_neohookean_dp4,4.655704546357908,7.6565621596976e-06,4.27147,7.82471,nh
biax_tension_neohookean_dp40,2.1154796964966924,0.0024574327261382973,10.6787,7.82471,nh
biax_tension_neohookean_dp41,2.0113065262776706,0.0008986674528097999,11.1058,7.82471,nh
biax_tension_neohookean_dp42,1.887542544873398,0.00112900917385553,11.5963,7.82471,nh
biax_tension_neohookean_dp43,1.7783514371940832,0.0016043664455125432,12.0867,7.82471,nh
biax_tension_neohookean_dp44,1.6772667366723037,0.0006110606153671639,12.5771,7.82471,nh
biax_tension_neohookean_dp45,1.5844594016112605,0.0011648648727277517,13.0675,7.82471,nh
biax_tension_neohookean_dp46,1.4938312187091989,0.002093091797140924,13.558,7.82471,nh
biax_tension_neohookean_dp47,1.4135831477169516,0.0006963086367036294,14.0484,7.82471,nh
biax_tension_neohookean_dp48,1.3390885877215457,0.001004463759010496,14.5388,7.82471,nh
biax_tension_neohookean_dp49,1.2704638074675694,0.000703322677872659,15.0293,7.82471,nh
biax_tension_neohookean_dp5,4.59287810430201,0.0,4.44945,7.82471,nh
biax_tension_neohookean_dp50,1.2060398958565488,0.0008090376768813942,15.5197,7.82471,nh
biax_tension_neohookean_dp51,1.1460575307379652,0.0005011492986213435,16.0101,7.82471,nh
biax_tension_neohookean_dp52,1.0906306262739751,0.0006275870460270802,16.5005,7.82471,nh
biax_tension_neohookean_dp53,1.0362206271059775,0.0006096495721968935,16.991,7.82471,nh
biax_tension_neohookean_dp54,0.987625250006919,0.00048794654264939873,17.4814,7.82471,nh
biax_tension_neohookean_dp55,0.9421885011564743,0.0004450464560730558,17.9718,7.82471,nh
biax_tension_neohookean_dp56,0.897855409278614,0.000645870414075051,18.4623,7.82471,nh
biax_tension_neohookean_dp57,0.8581171293492332,0.000913344363257884,18.9527,7.82471,nh
biax_tension_neohookean_dp58,0.8208396452648071,0.0003836538765570439,19.4431,7.82471,nh
biax_tension_neohookean_dp59,0.7861305324201973,4.044385769763868e-05,19.9335,7.82471,nh
biax_tension_neohookean_dp6,4.524557566746483,0.0,4.62743,7.82471,nh
biax_tension_neohookean_dp60,0.7518205110372761,0.0010803340227940267,20.424,7.82471,nh
biax_tension_neohookean_dp61,0.7224882824836216,1.4547461751038426e-05,20.9144,7.82471,nh
biax_tension_neohookean_dp62,0.6932949498363514,0.00011711783217946406,21.4048,7.82471,nh
biax_tension_neohookean_dp63,0.6646205109672128,0.00019886227813578934,21.8953,7.82471,nh
biax_tension_neohookean_dp64,0.6387131856817428,0.00010874203546772074,22.3857,7.82471,nh
biax_tension_neohookean_dp65,0.6142417200486294,0.00019838886874986458,22.8761,7.82471,nh
biax_tension_neohookean_dp66,0.5913005499729033,0.00016859302144333878,23.3665,7.82471,nh
