sample_name,total_curvature,final_strain,class
planar_compression_neohookean_dp0,-32.26685887882148,-1.42861,nh
planar_compression_neohookean_dp1,-29.78550309619928,-1.50004,nh
planar_compression_neohookean_dp10,-16.013732764269243,-2.14292,nh
planar_compression_neohookean_dp11,-15.087029292465466,-2.21435,nh
planar_compression_neohookean_dp12,-14.23591621798438,-2.28578,nh
planar_compression_neohookean_dp13,-13.453519680503494,-2.35721,nh
planar_compression_neohookean_dp14,-12.732172320471602,-2.42864,nh
planar_compression_neohookean_dp15,-12.065786065930178,-2.50007,nh
planar_compression_neohookean_dp16,-11.449146058555964,-2.5715,nh
planar_compression_neohookean_dp17,-10.877713624466933,-2.64294,nh
planar_compression_neohookean_dp18,-10.347311157900451,-2.71437,nh
planar_compression_neohookean_dp19,-9.853848759186784,-2.7858,nh
planar_compression_neohookean_dp2,-27.56520552113,-1.57148,nh
planar_compression_neohookean_dp20,-9.39421331524992,-2.85723,nh
planar_compression_neohookean_dp21,-8.965368977470094,-2.92866,nh
planar_compression_neohookean_dp22,-8.564828925000405,-3.00009,nh
planar_compression_neohookean_dp23,-8.190060824224346,-3.07152,nh
planar_compression_neohookean_dp24,-7.8388542307727995,-3.14295,nh
planar_compression_neohookean_dp25,-7.509878771940707,-3.21438,nh
planar_compression_neohookean_dp26,-7.200595617939834,-3.28581,nh
planar_compression_neohookean_dp27,-6.909662264458541,-3.35724,nh
planar_compression_neohookean_dp28,-6.635887720890818,-3.42867,nh
planar_compression_neohookean_dp29,-6.377898422833433,-3.5001,nh
planar_compression_neohookean_dp3,-25.568482280682446,-1.64291,nh
planar_compression_neohookean_dp30,-6.134437449741755,-3.57153,nh
planar_compression_neohookean_dp31,-5.904736024904346,-3.64297,nh
planar_compression_neohookean_dp32,-5.687261880112311,-3.7144,nh
planar_compression_neohookean_dp33,-5.481622551527701,-3.78583,nh
planar_compression_neohookean_dp34,-5.286681053137319,-3.85726,nh
planar_compression_neohookean_dp35,-5.101895554878541,-3.92869,nh
planar_compression_neohookean_dp36,-4.926553621226245,-4.00012,nh
planar_compression_neohookean_dp37,-4.76010923594888,-4.07155,nh
planar_compression_neohookean_dp38,-4.601793758684908,-4.14298,nh
planar_compression_neohookean_dp39,-4.451178671007908,-4.21441,nh
planar_compression_neohookean_dp4,-23.770312342769536,-1.71434,nh
planar_compression_neohookean_dp40,-4.3077200455481846,-4.28584,nh
planar_compression_neohookean_dp41,-3.9903805634332588,-4.45727,nh
planar_compression_neohookean_dp42,-3.6672329277705806,-4.65411,nh
planar_compression_neohookean_dp43,-3.3814887808698484,-4.85094,nh
planar_compression_neohookean_dp44,-3.1276852423653447,-5.04777,nh
planar_compression_neohookean_dp45,-2.901265456334737,-5.2446,nh
planar_compression_neohookean_dp46,-2.6984813397308445,-5.44143,nh
planar_compression_neohookean_dp47,-2.5160818065722017,-5.63826,nh
planar_compression_neohookean_dp48,-2.351535041365214,-5.83509,nh
planar_compression_neohookean_dp49,-2.202534556126864,-6.03192,nh
planar_compression_neohookean_dp5,-22.147085214552757,-1.78577,nh
planar_compression_neohookean_dp50,-2.067220674435629,-6.22876,nh
