sample_name,total_curvature,curvature_ratio,final_strain,class
planar_tension_neohookean_dp0,46.075319976265526,0.0,0.50036,nh
planar_tension_neohookean_dp1,44.87919263602503,0.0,0.525378,nh
planar_tension_neohookean_dp10,33.57719930934523,0.0,0.75054,nh
planar_tension_neohookean_dp11,32.43306721189812,0.0,0.775558,nh
planar_tension_neohookean_dp12,31.30771535121189,0.0,0.800576,nh
planar_tension_neohookean_dp13,30.239358600959427,0.0,0.825594,nh
planar_tension_neohookean_dp14,29.204981989163116,0.0,0.850612,nh
planar_tension_neohookean_dp15,28.19870054024662,0.0,0.875631,nh
planar_tension_neohookean_dp16,27.22565096244491,0.0,0.900649,nh
planar_tension_neohookean_dp17,26.303162176091323,0.0,0.925667,nh
planar_tension_neohookean_dp18,25.41792754142966,0.0,0.950685,nh
planar_tension_neohookean_dp19,24.55457070509982,0.0,0.975703,nh
planar_tension_neohookean_dp2,43.612686056384526,0.0,0.550396,nh
planar_tension_neohookean_dp20,23.745753296221142,0.0,1.00072,nh
planar_tension_neohookean_dp21,22.905921784716234,0.0,1.02574,nh
planar_tension_neohookean_dp22,22.18909771847577,0.0,1.05076,nh
planar_tension_neohookean_dp23,21.483871724784887,0.0,1.07577,nh
planar_tension_neohookean_dp24,20.821152243754234,0.0,1.10079,nh
planar_tension_neohookean_dp25,20.10001127885585,0.0,1.12581,nh
planar_tension_neohookean_dp26,19.49116489436178,0.0,1.15083,nh
planar_tension_neohookean_dp27,18.829556063706928,0.0,1.17585,nh
planar_tension_neohookean_dp28,18.330509138193097,0.0,1.20086,nh
planar_tension_neohookean_dp29,17.720272217197312,0.0,1.22588,nh
planar_tension_neohookean_dp3,42.34095576892327,0.0,0.575414,nh
planar_tension_neohookean_dp30,17.137124744767757,0.0,1.2509,nh
planar_tension_neohookean_dp31,16.642609027172572,0.0,1.27592,nh
planar_tension_neohookean_dp32,16.10664134323157,0.0,1.30094,nh
planar_tension_neohookean_dp33,15.69956927303809,0.0,1.32595,nh
planar_tension_neohookean_dp34,15.204270018867897,0.0,1.35097,nh
planar_tension_neohookean_dp35,14.782952032382168,0.0,1.37599,nh
planar_tension_neohookean_dp36,14.326788475364516,0.0,1.40101,nh
planar_tension_neohookean_dp37,13.938279298596093,0.0,1.42603,nh
planar_tension_neohookean_dp38,13.548511568989952,0.0,1.45104,nh
planar_tension_neohookean_dp39,13.18852907303894,0.0,1.47606,nh
planar_tension_neohookean_dp4,41.05647616681716,0.0,0.600432,nh
planar_tension_neohookean_dp40,12.798857783259693,0.0,1.50108,nh
planar_tension_neohookean_dp41,12.022456763912949,0.0,1.56112,nh
planar_tension_neohookean_dp42,11.158526023222649,0.0,1.63006,nh
planar_tension_neohookean_dp43,10.37451994519251,0.0,1.699,nh
planar_tension_neohookean_dp44,9.694581194773736,0.0,1.76794,nh
