sample_name,total_curvature,curvature_ratio,final_strain,class
simple_shear_neohookean_dp0,-2.499243086561385,0.1923131287587414,3.45389,nh
simple_shear_neohookean_dp1,-2.3103202279464763,0.19166067289122538,3.62654,nh
simple_shear_neohookean_dp10,-1.254372203793385,0.18675078586432264,5.18027,nh
simple_shear_neohookean_dp11,-1.1830912541294993,0.1862572434658383,5.35289,nh
simple_shear_neohookean_dp12,-1.1166576693384445,0.18588061789635102,5.5255,nh
simple_shear_neohookean_dp13,-1.0553871339504515,0.1855902625182333,5.69811,nh
simple_shear_neohookean_dp14,-0.9996913100853169,0.18515830570524666,5.87072,nh
simple_shear_neohookean_dp15,-0.9474341870046492,0.18486167990874813,6.04332,nh
simple_shear_neohookean_dp16,-0.8990680966757377,0.184588020309332,6.21592,nh
simple_shear_neohookean_dp17,-0.8548772823954834,0.18420632777440507,6.38852,nh
simple_shear_neohookean_dp18,-0.8133178142619042,0.18392794759473202,6.56111,nh
simple_shear_neohookean_dp19,-0.7751041239237509,0.18356102550258577,6.7337,nh
simple_shear_neohookean_dp2,-2.140897711643427,0.19107651829865752,3.79919,nh
simple_shear_neohookean_dp20,-0.7389537893585436,0.1833007081029282,6.90628,nh
simple_shear_neohookean_dp21,-0.7056918511720497,0.18297357933498487,7.07887,nh
simple_shear_neohookean_dp22,-0.6737597385415787,0.18283727333809138,7.25144,nh
simple_shear_neohookean_dp23,-0.6447588715773738,0.18249691825926567,7.42402,nh
simple_shear_neohookean_dp24,-0.6174640671005015,0.18218051954776351,7.59659,nh
simple_shear_neohookean_dp25,-0.5915404795935926,0.18196048059180295,7.76916,nh
simple_shear_neohookean_dp26,-0.5672376901156179,0.18172355159841877,7.94172,nh
simple_shear_neohookean_dp27,-0.5446542513418445,0.18140232794584032,8.11428,nh
simple_shear_neohookean_dp28,-0.5230602179591675,0.18116085779251387,8.28684,nh
simple_shear_neohookean_dp29,-0.5027082432090373,0.18094481281806066,8.45939,nh
simple_shear_neohookean_dp3,-1.989899831416032,0.1903511464330785,3.97184,nh
simple_shear_neohookean_dp30,-0.4838111111751457,0.18063078277664052,8.63194,nh
simple_shear_neohookean_dp31,-0.4659036030686269,0.18035706798505105,8.80449,nh
simple_shear_neohookean_dp32,-0.4487589895287009,0.1801075612464688,8.97703,nh
simple_shear_neohookean_dp33,-0.43253273996170744,0.17984583541268628,9.14957,nh
simple_shear_neohookean_dp34,-0.41718673526462974,0.1795973979259971,9.3221,nh
simple_shear_neohookean_dp35,-0.4026401952512026,0.17932032025895173,9.49463,nh
simple_shear_neohookean_dp36,-0.388986153344142,0.17898795342499754,9.66716,nh
simple_shear_neohookean_dp37,-0.3759799083521961,0.17866855063393575,9.83969,nh
simple_shear_neohookean_dp38,-0.3633778779143321,0.17844531605134867,10.0122,nh
simple_shear_neohookean_dp39,-0.35168170097035634,0.1780976635221517,10.1847,nh
simple_shear_neohookean_dp4,-1.8517635937873207,0.1898260069416707,4.14448,nh
simple_shear_neohookean_dp40,-0.3394088435960107,0.1797819258934955,10.3572,nh
simple_shear_neohookean_dp41,-0.5894913186311902,0.029768078278954745,10.6695,nh
