sample_name,total_curvature,curvature_ratio,final_strain,class
uniax_compression_neohookean_dp0,-42.68745775546215,0.0,-0.979999,nh
uniax_compression_neohookean_dp1,-39.845241787930966,0.0,-1.029,nh
uniax_compression_neohookean_dp10,-22.816504965557776,0.0,-1.47,nh
uniax_compression_neohookean_dp11,-21.592497523887037,0.0,-1.519,nh
uniax_compression_neohookean_dp12,-20.455713149847757,0.0,-1.568,nh
uniax_compression_neohookean_dp13,-19.40416919834303,0.0,-1.617,nh
uniax_compression_neohookean_dp14,-18.426551055206513,0.0,-1.666,nh
uniax_compression_neohookean_dp15,-17.518602537832987,0.0,-1.715,nh
uniax_compression_neohookean_dp16,-16.67185864381309,0.0,-1.764,nh
uniax_compression_neohookean_dp17,-15.88445365824825,0.0,-1.813,nh
uniax_compression_neohookean_dp18,-15.147646387441101,0.0,-1.862,nh
uniax_compression_neohookean_dp19,-14.460090738455568,0.0,-1.911,nh
uniax_compression_neohookean_dp2,-37.2374367684923,0.0,-1.078,nh
uniax_compression_neohookean_dp20,-13.815976120590408,0.0,-1.96,nh
uniax_compression_neohookean_dp21,-13.213481666313625,0.0,-2.009,nh
uniax_compression_neohookean_dp22,-12.64704156678734,0.0,-2.058,nh
uniax_compression_neohookean_dp23,-12.11666056933912,0.0,-2.107,nh
uniax_compression_neohookean_dp24,-11.616793843637812,0.0,-2.156,nh
uniax_compression_neohookean_dp25,-11.147084897479457,0.0,-2.205,nh
uniax_compression_neohookean_dp26,-10.704717882911247,0.0,-2.254,nh
uniax_compression_neohookean_dp27,-10.2865550630366,0.0,-2.303,nh
uniax_compression_neohookean_dp28,-9.892682526033921,0.0,-2.352,nh
uniax_compression_neohookean_dp29,-9.52004388102109,0.0,-2.401,nh
uniax_compression_neohookean_dp3,-34.85875111442968,0.0,-1.127,nh
uniax_compression_neohookean_dp30,-9.167903021379555,0.0,-2.45,nh
uniax_compression_neohookean_dp31,-8.834007498790458,0.0,-2.499,nh
uniax_compression_neohookean_dp32,-8.518166320482841,0.0,-2.548,nh
uniax_compression_neohookean_dp33,-8.218166413306722,0.0,-2.597,nh
uniax_compression_neohookean_dp34,-7.933924850207416,0.0,-2.646,nh
uniax_compression_neohookean_dp35,-7.663496642760413,0.0,-2.695,nh
uniax_compression_neohookean_dp36,-7.4068010759657446,0.0,-2.744,nh
uniax_compression_neohookean_dp37,-7.1620799855210935,0.0,-2.793,nh
uniax_compression_neohookean_dp38,-6.929686900778075,0.0,-2.842,nh
uniax_compression_neohookean_dp39,-6.7076236544447605,0.0,-2.891,nh
uniax_compression_neohookean_dp4,-32.671608537545275,0.0,-1.176,nh
uniax_compression_neohookean_dp40,-6.4962800537573395,0.0,-2.94,nh
uniax_compression_neohookean_dp41,-6.027171697543615,0.0,-3.0576,nh
uniax_compression_neohookean_dp42,-5.547827226641826,0.0,-3.19262,nh
uniax_compression_neohookean_dp43,-5.122919277135766,0.0,-3.32764,nh
uniax_compression_neohookean_dp44,-4.7444554563609005,0.0,-3.46266,nh
uniax_compression_neohookean_dp45,-4.406103051016492,0.0,-3.59769,nh
uniax_compression_neohookean_dp46,-4.10230259121649,0.0,-3.73271,nh
uniax_compression_neohookean_dp47,-3.8285713911588672,0.0,-3.86773,nh
uniax_compression_neohookean_dp48,-3.5811075233086163,0.0,-4.00275,nh
uniax_compression_neohookean_dp49,-3.35671662276145,0.0,-4.13777,nh
uniax_compression_neohookean_dp5,-30.669584757780637,0.0,-1.225,nh
uniax_compression_neohookean_dp50,-3.1527188296711754,0.0,-4.2728,nh
uniax_compression_neohookean_dp51,-2.966531402911645,0.0,-4.40782,nh
uniax_compression_neohookean_dp52,-2.7962470952426965,0.0,-4.54284,nh
uniax_compression_neohookean_dp53,-2.640153402166645,0.0,-4.67786,nh
uniax_compression_neohookean_dp54,-2.496718274116022,0.0,-4.81288,nh
uniax_compression_neohookean_dp55,-2.3645411726676273,0.0,-4.94791,nh
uniax_compression_neohookean_dp56,-2.242584074798195,0.0,-5.08293,nh
uniax_compression_neohookean_dp57,-2.1297677079404913,0.0,-5.21795,nh
uniax_compression_neohookean_dp58,-2.0251934728067758,0.0,-5.35297,nh
uniax_compression_neohookean_dp59,-1.9281778910244611,0.0,-5.488,nh
uniax_compression_neohookean_dp6,-28.828472754870425,0.0,-1.274,nh
uniax_compression_neohookean_dp60,-1.8378924454122654,0.0,-5.62302,nh
uniax_compression_neohookean_dp61,-1.75375666474448,0.0,-5.75804,nh
uniax_compression_neohookean_dp62,-1.6752705628459468,0.0,-5.89306,nh
uniax_compression_neohookean_dp63,-1.601895725161262,0.0,-6.02808,nh
uniax_compression_neohookean_dp64,-1.5332550786813615,0.0,-6.16311,nh
uniax_compression_neohookean_dp65,-1.4689183406408528,0.0,-6.29813,nh
uniax_compression_neohookean_dp66,-1.40851327837114,0.0,-6.43315,nh
uniax_compression_neohookean_dp67,-1.3517407423982304,0.0,-6.56817,nh
uniax_compression_neohookean_dp68,-1.2983287191920465,0.0,-6.70319,nh
uniax_compression_neohookean_dp69,-1.2480356095218248,0.0,-6.83822,nh
uniax_compression_neohookean_dp7,-27.137953356896105,0.0,-1.323,nh
uniax_compression_neohookean_dp70,-1.200599914992454,0.0,-6.97324,nh
uniax_compression_neohookean_dp71,-1.1557813025385297,0.0,-7.10826,nh
uniax_compression_neohookean_dp72,-1.1134328416454928,0.0,-7.24328,nh
uniax_compression_neohookean_dp73,-1.0733565446000084,0.0,-7.37831,nh
uniax_compression_neohookean_dp74,-1.0354094189351088,0.0,-7.51333,nh
uniax_compression_neohookean_dp75,-0.9994269699369911,0.0,-7.64835,nh
uniax_compression_neohookean_dp76,-0.9652867509451717,0.0,-7.78337,nh
uniax_compression_neohookean_dp77,-0.9328557556849989,0.0,-7.91839,nh
uniax_compression_neohookean_dp78,-0.9020527303956802,0.0,-8.05342,nh
uniax_compression_neohookean_dp79,-0.8727412296670124,0.0,-8.18844,nh
uniax_compression_neohookean_dp8,-25.578438353558774,0.0,-1.372,nh
uniax_compression_neohookean_dp80,-0.8448195567613934,0.0,-8.32346,nh
uniax_compression_neohookean_dp81,-0.8182173081651788,0.0,-8.45848,nh
uniax_compression_neohookean_dp82,-0.7928497505072837,0.0,-8.5935,nh
uniax_compression_neohookean_dp83,-0.7686554990156599,0.0,-8.72853,nh
uniax_compression_neohookean_dp84,-0.7455402613136217,0.0,-8.86355,nh
uniax_compression_neohookean_dp85,-0.7234494882205685,0.0,-8.99857,nh
uniax_compression_neohookean_dp86,-0.702313560200941,0.0,-9.13359,nh
uniax_compression_neohookean_dp87,-0.6820940971183,0.0,-9.26861,nh
uniax_compression_neohookean_dp88,-0.6627553495841351,0.0,-9.40364,nh
uniax_compression_neohookean_dp89,-0.6442091947312281,0.0,-9.53866,nh
uniax_compression_neohookean_dp9,-24.14450423934875,0.0,-1.421,nh
uniax_compression_neohookean_dp90,-0.6264195477110951,0.0,-9.67368,nh
uniax_compression_neohookean_dp91,-0.609366989321739,0.0,-9.8087,nh
uniax_compression_neohookean_dp92,-0.5930065885917086,0.0,-9.94373,nh
uniax_compression_neohookean_dp93,-0.5772579921881452,0.0,-10.0787,nh
uniax_compression_neohookean_dp94,-0.5622392621109554,0.0,-10.2138,nh
uniax_compression_neohookean_dp95,-0.5477051258414316,0.0,-10.3488,nh
uniax_compression_neohookean_dp96,-0.5337253280803093,0.0,-10.4838,nh
uniax_compression_neohookean_dp97,-0.5202768647837248,0.0,-10.6188,nh
uniax_compression_neohookean_dp98,-0.5073962063866886,0.0,-10.7539,nh
uniax_compression_neohookean_dp99,-0.4949190396654703,0.0,-10.8889,nh
uniax_compression_mooneyrivlin2_dp0,-1.055690976255629,0.0,-10.0904,mr
uniax_compression_mooneyrivlin2_dp1,-0.8281980957933436,0.0,-11.9632,mr
uniax_compression_mooneyrivlin2_dp10,-2.746219093335583,0.0,-6.38814,mr
uniax_compression_mooneyrivlin2_dp11,-1.2507179373012358,0.0,-9.97421,mr
uniax_compression_mooneyrivlin2_dp12,-1.1905582619589767,0.0,-8.62399,mr
uniax_compression_mooneyrivlin2_dp13,-0.5112098661585621,0.0,-14.6637,mr
uniax_compression_mooneyrivlin2_dp14,-0.9805966853417899,0.0,-11.3244,mr
uniax_compression_mooneyrivlin2_dp15,-2.64817661580031,0.0,-6.47525,mr
uniax_compression_mooneyrivlin2_dp16,-1.7725435864053618,0.0,-8.3191,mr
uniax_compression_mooneyrivlin2_dp17,-2.1565293478117415,0.0,-7.02696,mr
uniax_compression_mooneyrivlin2_dp18,-0.9733437622934832,0.0,-10.0758,mr
uniax_compression_mooneyrivlin2_dp19,-0.8852190812892661,0.0,-10.7001,mr
uniax_compression_mooneyrivlin2_dp2,-0.9403864312570226,0.0,-10.0323,mr
uniax_compression_mooneyrivlin2_dp20,-1.3137530826123784,0.0,-9.5677,mr
uniax_compression_mooneyrivlin2_dp21,-0.7341389860690005,0.0,-11.9923,mr
uniax_compression_mooneyrivlin2_dp22,-1.0025453809766358,0.0,-9.5677,mr
uniax_compression_mooneyrivlin2_dp23,-0.7856918177272182,0.0,-11.6584,mr
uniax_compression_mooneyrivlin2_dp24,-1.2811427339718164,0.0,-9.68384,mr
uniax_compression_mooneyrivlin2_dp25,-1.3596176583099917,0.0,-8.79821,mr
uniax_compression_mooneyrivlin2_dp26,-0.9346108881012386,0.0,-10.6275,mr
uniax_compression_mooneyrivlin2_dp27,-0.6018739923602491,0.0,-13.2118,mr
uniax_compression_mooneyrivlin2_dp28,-0.5933318759951887,0.0,-13.9087,mr
uniax_compression_mooneyrivlin2_dp29,-1.3157371741636297,0.0,-9.91614,mr
uniax_compression_mooneyrivlin2_dp3,-0.988735430261182,0.0,-10.6711,mr
uniax_compression_mooneyrivlin2_dp30,-0.55320972471195,0.0,-13.7345,mr
uniax_compression_mooneyrivlin2_dp31,-1.0031994863755866,0.0,-11.4406,mr
uniax_compression_mooneyrivlin2_dp32,-0.9693093426130733,0.0,-9.66933,mr
uniax_compression_mooneyrivlin2_dp33,-1.1594926185943482,0.0,-8.56592,mr
uniax_compression_mooneyrivlin2_dp34,-1.1497576257479991,0.0,-10.4824,mr
uniax_compression_mooneyrivlin2_dp35,-1.1911925440208853,0.0,-10.2065,mr
uniax_compression_mooneyrivlin2_dp36,-2.19146636353489,0.0,-6.95436,mr
uniax_compression_mooneyrivlin2_dp37,-0.7926208115757278,0.0,-11.4406,mr
uniax_compression_mooneyrivlin2_dp38,-0.6818233696693804,0.0,-12.544,mr
uniax_compression_mooneyrivlin2_dp39,-0.6305527598948922,0.0,-13.5748,mr
uniax_compression_mooneyrivlin2_dp4,-0.8896546474899056,0.0,-10.0758,mr
uniax_compression_mooneyrivlin2_dp40,-0.7645722761857162,0.0,-12.1955,mr
uniax_compression_mooneyrivlin2_dp41,-0.19961003872151264,0.0,-19.1499,mr
uniax_compression_mooneyrivlin2_dp42,-0.3091972035678812,0.0,-18.4675,mr
uniax_compression_mooneyrivlin2_dp43,-0.06005979922684978,0.0,-42.365,mr
uniax_compression_mooneyrivlin2_dp44,-0.10919841547768391,0.0,-26.1043,mr
uniax_compression_mooneyrivlin2_dp45,-0.34784166853305565,0.0,-15.0267,mr
uniax_compression_mooneyrivlin2_dp46,-0.18077668253630913,0.0,-26.5543,mr
uniax_compression_mooneyrivlin2_dp47,-0.8055530050444956,0.0,-12.7908,mr
uniax_compression_mooneyrivlin2_dp48,-0.08011328895390973,0.0,-36.3108,mr
uniax_compression_mooneyrivlin2_dp49,-0.15176386975827497,0.0,-29.3564,mr
uniax_compression_mooneyrivlin2_dp5,-0.7279953270652766,0.0,-12.2391,mr
uniax_compression_mooneyrivlin2_dp50,-0.14503623564518742,0.0,-21.8794,mr
uniax_compression_mooneyrivlin2_dp51,-0.05386385267715649,0.0,-44.4121,mr
uniax_compression_mooneyrivlin2_dp52,-0.3098288361266459,0.0,-17.5529,mr
uniax_compression_mooneyrivlin2_dp53,-0.06928113170775954,0.0,-35.5413,mr
uniax_compression_mooneyrivlin2_dp54,-0.9358480854289399,0.0,-10.8308,mr
uniax_compression_mooneyrivlin2_dp55,-0.057256559691393746,0.0,-42.1472,mr
uniax_compression_mooneyrivlin2_dp56,-0.05199262476548804,0.0,-45.4284,mr
uniax_compression_mooneyrivlin2_dp57,-0.05382514174874828,0.0,-48.0998,mr
uniax_compression_mooneyrivlin2_dp58,-0.12153948273298437,0.0,-31.2148,mr
uniax_compression_mooneyrivlin2_dp59,-0.05758365971184286,0.0,-42.2343,mr
uniax_compression_mooneyrivlin2_dp6,-1.0652062036896435,0.0,-9.7274,mr
uniax_compression_mooneyrivlin2_dp60,-0.05799080892518457,0.0,-41.581,mr
uniax_compression_mooneyrivlin2_dp61,-0.1658581411604049,0.0,-21.1389,mr
uniax_compression_mooneyrivlin2_dp62,-0.29349845780727296,0.0,-19.7307,mr
uniax_compression_mooneyrivlin2_dp63,-0.5607596928747253,0.0,-14.9976,mr
uniax_compression_mooneyrivlin2_dp64,-0.4471274398641675,0.0,-16.8415,mr
uniax_compression_mooneyrivlin2_dp65,-0.10709614105539327,0.0,-30.1695,mr
uniax_compression_mooneyrivlin2_dp66,-0.24848427693465525,0.0,-19.9049,mr
uniax_compression_mooneyrivlin2_dp67,-0.0796197063885155,0.0,-41.5955,mr
uniax_compression_mooneyrivlin2_dp68,-0.07335332087861625,0.0,-38.416,mr
uniax_compression_mooneyrivlin2_dp69,-0.12826031185616693,0.0,-32.9715,mr
uniax_compression_mooneyrivlin2_dp7,-0.651357705766877,0.0,-12.7327,mr
uniax_compression_mooneyrivlin2_dp70,-0.27411947979577833,0.0,-21.4438,mr
uniax_compression_mooneyrivlin2_dp71,-0.04674422039878626,0.0,-46.0963,mr
uniax_compression_mooneyrivlin2_dp72,-0.07505148511745185,0.0,-39.0983,mr
uniax_compression_mooneyrivlin2_dp73,-0.04745832012645612,0.0,-47.6497,mr
uniax_compression_mooneyrivlin2_dp74,-0.681561159650945,0.0,-11.3099,mr
uniax_compression_mooneyrivlin2_dp75,-0.2478559537777981,0.0,-20.7034,mr
uniax_compression_mooneyrivlin2_dp76,-0.0854070252600912,0.0,-40.7244,mr
uniax_compression_mooneyrivlin2_dp77,-0.07969763953654833,0.0,-33.2764,mr
uniax_compression_mooneyrivlin2_dp78,-0.09871936436886929,0.0,-31.5778,mr
uniax_compression_mooneyrivlin2_dp79,-0.06275210847579524,0.0,-38.7063,mr
uniax_compression_mooneyrivlin2_dp8,-0.6016835583971122,0.0,-13.1538,mr
uniax_compression_mooneyrivlin2_dp80,-0.29835408864163626,0.0,-19.0483,mr
uniax_compression_mooneyrivlin2_dp81,-0.14574707167660036,0.0,-25.3929,mr
uniax_compression_mooneyrivlin2_dp82,-0.05548098676680538,0.0,-46.5899,mr
uniax_compression_mooneyrivlin2_dp83,-0.22541430375030047,0.0,-20.8341,mr
uniax_compression_mooneyrivlin2_dp84,-0.05345595283958879,0.0,-41.9875,mr
uniax_compression_mooneyrivlin2_dp85,-1.2282435589413498,0.0,-9.11762,mr
uniax_compression_mooneyrivlin2_dp86,-0.17607372444706637,0.0,-28.4127,mr
uniax_compression_mooneyrivlin2_dp87,-0.07757540240593845,0.0,-35.1057,mr
uniax_compression_mooneyrivlin2_dp88,-0.36046304267027707,0.0,-19.5564,mr
uniax_compression_mooneyrivlin2_dp89,-0.05239635752976417,0.0,-42.5973,mr
uniax_compression_mooneyrivlin2_dp9,-1.3304283825532293,0.0,-9.4951,mr
uniax_compression_mooneyrivlin2_dp90,-0.03809930457836687,0.0,-52.9345,mr
uniax_compression_mooneyrivlin2_dp91,-0.17785317834822612,0.0,-29.5452,mr
uniax_compression_mooneyrivlin2_dp92,-0.07714009508143699,0.0,-36.7463,mr
uniax_compression_mooneyrivlin2_dp93,-0.1266009764396395,0.0,-31.9407,mr
uniax_compression_mooneyrivlin2_dp94,-0.27284835118549533,0.0,-22.2133,mr
uniax_compression_mooneyrivlin2_dp95,-0.060821387112502436,0.0,-45.8349,mr
uniax_compression_mooneyrivlin2_dp96,-0.08562615061331376,0.0,-31.6068,mr
uniax_compression_mooneyrivlin2_dp97,-0.19664076752492632,0.0,-21.4148,mr
uniax_compression_mooneyrivlin2_dp98,-0.03991476483612068,0.0,-52.165,mr
uniax_compression_mooneyrivlin2_dp99,-0.11987077237890627,0.0,-32.5505,mr
uniax_compression_ogden_dp0,-1.3218304073542708,0.0,-20.9259,og
uniax_compression_ogden_dp1,-0.8655844923643813,0.0,-14.8437,og
uniax_compression_ogden_dp10,-3.7583882800482082,0.0,-10.2882,og
uniax_compression_ogden_dp100,-0.13829967711365157,0.0,-48.4898,og
uniax_compression_ogden_dp101,-0.18990013155911675,0.0,-21.4856,og
uniax_compression_ogden_dp102,-0.12764091188157325,0.0,-45.68,og
uniax_compression_ogden_dp103,-0.27231124691054814,0.0,-28.278,og
uniax_compression_ogden_dp104,-1.3174421102163978,0.0,-21.6785,og
uniax_compression_ogden_dp105,-0.37252321646523695,0.0,-108.286,og
uniax_compression_ogden_dp106,-0.8526313765964587,0.0,-18.1928,og
uniax_compression_ogden_dp107,-0.2911523510455353,0.0,-218.353,og
uniax_compression_ogden_dp108,-3.4393931074496686,0.0,-20.0995,og
uniax_compression_ogden_dp109,-0.6360191924127181,0.0,-15.507,og
uniax_compression_ogden_dp11,-0.7265047425190457,0.0,-36.0582,og
uniax_compression_ogden_dp110,-0.24376201703137,0.0,-57.152,og
uniax_compression_ogden_dp111,-1.8390284803421897,0.0,-6.58854,og
uniax_compression_ogden_dp112,-0.37587833536360116,0.0,-85.7722,og
uniax_compression_ogden_dp113,-0.2436721479187651,0.0,-126.507,og
uniax_compression_ogden_dp114,-1.1957157104481875,0.0,-68.3434,og
uniax_compression_ogden_dp115,-0.2066220640519711,0.0,-280.223,og
uniax_compression_ogden_dp116,-0.17089940265871345,0.0,-39.8182,og
uniax_compression_ogden_dp117,-0.17830118185976745,0.0,-63.5719,og
uniax_compression_ogden_dp118,-0.31330135234963863,0.0,-32.6351,og
uniax_compression_ogden_dp119,-0.5841755009402947,0.0,-137.928,og
uniax_compression_ogden_dp12,-0.12019558405934648,0.0,-122.897,og
uniax_compression_ogden_dp120,-6.292612118156478,0.0,-13.7397,og
uniax_compression_ogden_dp121,-0.5492722935190752,0.0,-14.2175,og
uniax_compression_ogden_dp122,-0.34832766633132745,0.0,-42.2443,og
uniax_compression_ogden_dp123,-0.7914766696518125,0.0,-61.2292,og
uniax_compression_ogden_dp124,-0.34606302277782713,0.0,-59.8179,og
uniax_compression_ogden_dp125,-0.15110751726387123,0.0,-20.3824,og
uniax_compression_ogden_dp126,-0.22751249571986398,0.0,-88.8828,og
uniax_compression_ogden_dp127,-0.19581044308039805,0.0,-18.6178,og
uniax_compression_ogden_dp128,-0.628329294195091,0.0014048209302041812,-32.7308,og
uniax_compression_ogden_dp129,-2.3546461801476624,0.07091963955376032,-36.1502,og
uniax_compression_ogden_dp13,-0.2971104588090846,0.0,-17.1795,og
uniax_compression_ogden_dp130,-0.41153013539120703,0.0,-16.098,og
uniax_compression_ogden_dp131,-0.732416315717412,0.0,-50.2956,og
uniax_compression_ogden_dp132,-2.8394492003106557,0.05224880939096115,-10.4032,og
uniax_compression_ogden_dp133,-1.6121912248748096,0.0,-13.1918,og
uniax_compression_ogden_dp134,-0.09450334163677358,0.0,-85.2229,og
uniax_compression_ogden_dp135,-0.9734912429641894,0.0,-25.9546,og
uniax_compression_ogden_dp136,-8.483339251942944,0.0,-3.89176,og
uniax_compression_ogden_dp137,-1.0633543591314487,0.0,-30.8472,og
uniax_compression_ogden_dp138,-0.14000467463947605,0.0,-136.817,og
uniax_compression_ogden_dp139,-5.044631874759176,0.13576163858731613,-91.2347,og
uniax_compression_ogden_dp14,-0.3658683093449499,0.0,-84.8873,og
uniax_compression_ogden_dp140,-1.0597917436379078,0.0,-9.71565,og
uniax_compression_ogden_dp141,-0.19521777909926916,0.0,-61.6162,og
uniax_compression_ogden_dp142,-0.4031877233955599,0.0,-15.4466,og
uniax_compression_ogden_dp143,-0.28718572867634334,0.0,-53.823,og
uniax_compression_ogden_dp144,-7.157832225308238,0.007687700838946147,-10.8064,og
uniax_compression_ogden_dp145,-0.4506372963076732,0.0,-30.2965,og
uniax_compression_ogden_dp146,-0.8475461949569721,0.0,-9.78525,og
uniax_compression_ogden_dp147,-2.053579493198104,0.0,-5.58492,og
uniax_compression_ogden_dp148,-0.8406883983766761,0.0,-28.3893,og
uniax_compression_ogden_dp149,-0.38715287079496413,0.0,-18.8462,og
uniax_compression_ogden_dp15,-0.6775503464616872,0.0,-30.451,og
uniax_compression_ogden_dp150,-2.326616181912308,0.0,-153.383,og
uniax_compression_ogden_dp151,-0.37840238855406405,0.0,-17.2779,og
uniax_compression_ogden_dp152,-6.3815379377999415,0.0,-100.842,og
uniax_compression_ogden_dp153,-0.3386870421733543,0.0,-37.0114,og
uniax_compression_ogden_dp154,-1.5006995247846164,0.0,-7.65409,og
uniax_compression_ogden_dp155,-8.54125535360245,0.0,-29.5071,og
uniax_compression_ogden_dp156,-0.3114567643146547,0.0,-30.2833,og
uniax_compression_ogden_dp157,-3.704731050800571,0.0,-24.7528,og
uniax_compression_ogden_dp158,-5.257273005645126,0.0,-20.353,og
uniax_compression_ogden_dp159,-5.380724421071108,0.0,-9.84175,og
uniax_compression_ogden_dp16,-0.6772286887850459,0.0,-29.453,og
uniax_compression_ogden_dp160,-0.2804414048545105,0.0,-178.72,og
uniax_compression_ogden_dp161,-0.31168962478552825,0.0,-14.2083,og
uniax_compression_ogden_dp162,-12.06923895572492,0.0007872086888720185,-4.22968,og
uniax_compression_ogden_dp163,-0.19360382428980266,0.0,-18.6221,og
uniax_compression_ogden_dp164,-0.21410582146709148,0.0,-32.1814,og
uniax_compression_ogden_dp165,-7.789129293512364,0.2041044248974401,-29.4973,og
uniax_compression_ogden_dp166,-0.16284431623624634,0.0,-37.5669,og
uniax_compression_ogden_dp167,-0.1671036922095247,0.0,-33.7805,og
uniax_compression_ogden_dp168,-0.4356187142500589,0.0,-18.4648,og
uniax_compression_ogden_dp169,-0.7013265525299108,0.0,-10.1466,og
uniax_compression_ogden_dp17,-0.14593801747850657,0.0,-199.589,og
uniax_compression_ogden_dp170,-6.170752654122363,0.0,-16.9937,og
uniax_compression_ogden_dp171,-0.22841695507144036,0.0,-68.7779,og
uniax_compression_ogden_dp172,-1.9057553813124792,0.0,-97.1787,og
uniax_compression_ogden_dp173,-0.22022904805741883,0.0,-51.5178,og
uniax_compression_ogden_dp174,-0.09580683659901366,0.0,-193.89,og
uniax_compression_ogden_dp175,-0.4703848382256573,0.0,-21.2803,og
uniax_compression_ogden_dp176,-0.18225854314751708,0.0,-88.566,og
uniax_compression_ogden_dp177,-1.092980850911123,0.0,-9.43628,og
uniax_compression_ogden_dp178,-0.23012119567756056,0.0,-30.7442,og
uniax_compression_ogden_dp179,-0.2894932710525891,0.0,-126.536,og
uniax_compression_ogden_dp18,-0.4023695680205411,0.0,-23.619,og
uniax_compression_ogden_dp180,-0.12041221880359038,0.0,-55.6391,og
uniax_compression_ogden_dp181,-0.35183239491384877,0.0,-77.1105,og
uniax_compression_ogden_dp182,-2.4954197228203716,0.0,-5.88317,og
uniax_compression_ogden_dp183,-7.017704002187774,0.0062141705306770914,-10.8604,og
uniax_compression_ogden_dp184,-0.6429030344091794,0.0,-155.546,og
uniax_compression_ogden_dp185,-0.5172377034537786,0.0,-17.9108,og
uniax_compression_ogden_dp186,-0.5989046658139491,0.0,-44.0171,og
uniax_compression_ogden_dp187,-138.10468859219063,0.0,-48.0783,og
uniax_compression_ogden_dp188,-0.6634484424592043,0.0,-42.8659,og
uniax_compression_ogden_dp189,-0.18117557329203757,0.0,-107.316,og
uniax_compression_ogden_dp19,-0.30878862064382107,0.0,-27.508,og
