sample_name,total_curvature,curvature_ratio,final_strain,final_stress,class
uniax_tension_neohookean_dp0,6.3208619288816275,0.0,2.92697,6.52608,nh
uniax_tension_neohookean_dp1,6.285417878580381,0.00013615951097125406,3.07332,6.52608,nh
uniax_tension_neohookean_dp10,5.545075822076062,0.0,4.39045,6.52608,nh
uniax_tension_neohookean_dp11,5.436415328056728,0.0,4.5368,6.52608,nh
uniax_tension_neohookean_dp12,5.329158076622105,0.0,4.68315,6.52608,nh
uniax_tension_neohookean_dp13,5.218316503969115,0.0,4.8295,6.52608,nh
uniax_tension_neohookean_dp14,5.1120846662161545,0.0,4.97584,6.52608,nh
uniax_tension_neohookean_dp15,5.0011542286303605,0.0,5.12219,6.52608,nh
uniax_tension_neohookean_dp16,4.89322459908986,0.0,5.26854,6.52608,nh
uniax_tension_neohookean_dp17,4.783709811038074,0.0,5.41489,6.52608,nh
uniax_tension_neohookean_dp18,4.6777056800468495,0.0,5.56124,6.52608,nh
uniax_tension_neohookean_dp19,4.570735323797022,0.0,5.70759,6.52608,nh
uniax_tension_neohookean_dp2,6.242229179696967,0.0,3.21966,6.52608,nh
uniax_tension_neohookean_dp20,4.469305614618644,0.0,5.85393,6.52608,nh
uniax_tension_neohookean_dp21,4.365584759146702,0.0,6.00028,6.52608,nh
uniax_tension_neohookean_dp22,4.265435420884689,0.0,6.14663,6.52608,nh
uniax_tension_neohookean_dp23,4.165533022757707,0.0,6.29298,6.52608,nh
uniax_tension_neohookean_dp24,4.069574716764877,0.0,6.43933,6.52608,nh
uniax_tension_neohookean_dp25,3.9738000043666064,0.0,6.58568,6.52608,nh
uniax_tension_neohookean_dp26,3.8833668923662854,0.0,6.73202,6.52608,nh
uniax_tension_neohookean_dp27,3.7918513204549766,0.0,6.87837,6.52608,nh
uniax_tension_neohookean_dp28,3.7041558783648174,0.0,7.02472,6.52608,nh
uniax_tension_neohookean_dp29,3.616955522970136,0.0,7.17107,6.52608,nh
uniax_tension_neohookean_dp3,6.179692993498809,0.0,3.36601,6.52608,nh
uniax_tension_neohookean_dp30,3.5335033366156963,0.0,7.31742,6.52608,nh
uniax_tension_neohookean_dp31,3.450664909225461,0.0,7.46377,6.52608,nh
uniax_tension_neohookean_dp32,3.372570734695863,0.0,7.61011,6.52608,nh
uniax_tension_neohookean_dp33,3.2939265290822712,0.0,7.75646,6.52608,nh
uniax_tension_neohookean_dp34,3.2185073434281675,0.0,7.90281,6.52608,nh
uniax_tension_neohookean_dp35,3.1440150961512705,0.0,8.04916,6.52608,nh
uniax_tension_neohookean_dp36,3.072769407983681,0.0,8.19551,6.52608,nh
uniax_tension_neohookean_dp37,3.0022583914005625,0.0,8.34186,6.52608,nh
uniax_tension_neohookean_dp38,2.935824525772725,0.0,8.4882,6.52608,nh
uniax_tension_neohookean_dp39,2.86908246946899,0.0,8.63455,6.52608,nh
uniax_tension_neohookean_dp4,6.11022696272332,0.0,3.51236,6.52608,nh
uniax_tension_neohookean_dp40,2.8052936125859493,0.0,8.7809,6.52608,nh
uniax_tension_neohookean_dp41,2.6576016589531855,0.0,9.13214,6.52608,nh
uniax_tension_neohookean_dp42,2.5010402030913856,0.0,9.53541,6.52608,nh
uniax_tension_neohookean_dp43,2.3561305208386516,0.0,9.93868,6.52608,nh
uniax_tension_neohookean_dp44,2.217960943700901,0.0006784875500010454,10.342,6.52608,nh
uniax_tension_neohookean_dp45,2.0958098569733266,0.0004903158961610936,10.7452,6.52608,nh
uniax_tension_neohookean_dp46,1.9835584004706994,0.0010116746271397702,11.1485,6.52608,nh
uniax_tension_neohookean_dp47,1.8731442416657051,0.00019345180275699494,11.5518,6.52608,nh
uniax_tension_neohookean_dp48,1.7765572572840027,0.00013963901325194397,11.955,6.52608,nh
uniax_tension_neohookean_dp49,1.6814403056816865,0.00025260216899165394,12.3583,6.52608,nh
uniax_tension_neohookean_dp5,6.028307764834964,0.0,3.65871,6.52608,nh
uniax_tension_neohookean_dp50,1.5980366082049406,0.0,12.7616,6.52608,nh
uniax_tension_neohookean_dp51,1.5194984098438138,0.0005281257058307226,13.1648,6.52608,nh
uniax_tension_neohookean_dp52,1.4427607786699257,0.0005504475853602654,13.5681,6.52608,nh
